serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Pais_Honduras,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,395.98,407.57,0.0214,0.0
Pais_Honduras,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,396.13,407.72,0.0225,0.0
Pais_Honduras,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,396.88,414.26,0.0102,0.0
Pais_Honduras,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,397.35,406.04,0.0417,0.0
Pais_Honduras,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,397.82,412.31,0.0195,0.0
Pais_Honduras,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,399.16,404.96,0.0085,0.0
Pais_Honduras,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,399.18,404.97,0.0084,0.0
Pais_Honduras,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,400.27,403.17,0.013,0.0
Pais_Honduras,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,400.93,409.62,0.0079,0.0
Pais_Honduras,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,401.16,409.86,0.0087,0.0
Pais_Honduras,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,401.16,409.86,0.0087,0.0
Pais_Honduras,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,401.18,409.87,0.0086,0.0
Pais_Honduras,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,401.18,409.87,0.0086,0.0
Pais_Honduras,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,402.21,408.01,0.0172,0.0
Pais_Honduras,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,402.22,408.01,0.0169,0.0
Pais_Honduras,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,402.92,414.52,0.0077,0.0
